Subregion,Region,Lat,Long,Day,Count
All,Thailand,15,101,2020-01-22,2
All,Japan,36,138,2020-01-22,2
Hubei,China,30.9756,112.2707,2020-01-22,444
All,"Korea, South",36,128,2020-01-22,1
Guangdong,China,23.3417,113.4244,2020-01-22,26
Henan,China,33.882,113.614,2020-01-22,5
Zhejiang,China,29.1832,120.0934,2020-01-22,10
Hunan,China,27.6104,111.7088,2020-01-22,4
Anhui,China,31.8257,117.2264,2020-01-22,1
Jiangxi,China,27.614,115.7221,2020-01-22,2
Shandong,China,36.3427,118.1498,2020-01-22,2
Jiangsu,China,32.9711,119.455,2020-01-22,1
Chongqing,China,30.0572,107.874,2020-01-22,6
Sichuan,China,30.6171,102.7103,2020-01-22,5
Beijing,China,40.1824,116.4142,2020-01-22,14
Shanghai,China,31.202,121.4491,2020-01-22,9
Hebei,China,39.549,116.1306,2020-01-22,1
Fujian,China,26.0789,117.9874,2020-01-22,1
Guangxi,China,23.8298,108.7881,2020-01-22,2
Yunnan,China,24.974,101.487,2020-01-22,1
Hainan,China,19.1959,109.7453,2020-01-22,4
Guizhou,China,26.8154,106.8748,2020-01-22,1
Tianjin,China,39.3054,117.323,2020-01-22,4
Shanxi,China,37.5777,112.2922,2020-01-22,1
Liaoning,China,41.2956,122.6085,2020-01-22,2
Ningxia,China,37.2692,106.1655,2020-01-22,1
All,Taiwan*,23.7,121,2020-01-22,1
Macau,China,22.1667,113.55,2020-01-22,1
All,Thailand,15,101,2020-01-23,3
All,Japan,36,138,2020-01-23,1
All,Singapore,1.2833,103.8333,2020-01-23,1
Hubei,China,30.9756,112.2707,2020-01-23,444
All,"Korea, South",36,128,2020-01-23,1
Guangdong,China,23.3417,113.4244,2020-01-23,32
Henan,China,33.882,113.614,2020-01-23,5
Zhejiang,China,29.1832,120.0934,2020-01-23,27
Hunan,China,27.6104,111.7088,2020-01-23,9
Anhui,China,31.8257,117.2264,2020-01-23,9
Jiangxi,China,27.614,115.7221,2020-01-23,7
Shandong,China,36.3427,118.1498,2020-01-23,6
Jiangsu,China,32.9711,119.455,2020-01-23,5
Chongqing,China,30.0572,107.874,2020-01-23,9
Sichuan,China,30.6171,102.7103,2020-01-23,8
Heilongjiang,China,47.862,127.7615,2020-01-23,2
Beijing,China,40.1824,116.4142,2020-01-23,22
Shanghai,China,31.202,121.4491,2020-01-23,16
Hebei,China,39.549,116.1306,2020-01-23,1
Fujian,China,26.0789,117.9874,2020-01-23,5
Guangxi,China,23.8298,108.7881,2020-01-23,5
Shaanxi,China,35.1917,108.8701,2020-01-23,3
