Reg1,Reg2,What,Day,Count,Reg3
Italy,All,Fatalities,2020-04-07,17127,All
Italy,All,Fatalities,2020-04-06,16523,All
Italy,All,Fatalities,2020-04-05,15887,All
Italy,All,Fatalities,2020-04-04,15362,All
Italy,All,Fatalities,2020-04-03,14681,All
Italy,All,Fatalities,2020-04-02,13915,All
Italy,All,Fatalities,2020-04-01,13155,All
Italy,All,Fatalities,2020-03-31,12428,All
Italy,All,Fatalities,2020-03-30,11591,All
Italy,All,Fatalities,2020-03-29,10779,All
Italy,All,Fatalities,2020-03-28,10023,All
Italy,All,Fatalities,2020-03-27,9134,All
Italy,All,Fatalities,2020-03-26,8165,All
Italy,All,Fatalities,2020-03-25,7503,All
Italy,All,Fatalities,2020-03-24,6820,All
Italy,All,Fatalities,2020-03-23,6077,All
Italy,All,Fatalities,2020-03-22,5476,All
Italy,All,Fatalities,2020-03-21,4825,All
Italy,All,Fatalities,2020-03-20,4032,All
Italy,All,Fatalities,2020-03-19,3405,All
Italy,All,Fatalities,2020-03-18,2978,All
Italy,All,Fatalities,2020-03-17,2503,All
Italy,All,Fatalities,2020-03-16,2158,All
Italy,All,Fatalities,2020-03-15,1809,All
Italy,All,Fatalities,2020-03-14,1441,All
Italy,All,Fatalities,2020-03-13,1266,All
Italy,All,Fatalities,2020-03-12,1016,All
Italy,All,Fatalities,2020-03-11,827,All
Italy,All,Fatalities,2020-03-10,631,All
Italy,All,Fatalities,2020-03-09,463,All
Italy,All,Fatalities,2020-03-08,366,All
Italy,All,Fatalities,2020-03-07,233,All
Italy,All,Fatalities,2020-03-06,197,All
Italy,All,Fatalities,2020-03-05,148,All
Italy,All,Fatalities,2020-03-04,107,All
Italy,All,Fatalities,2020-03-03,79,All
Italy,All,Fatalities,2020-03-02,52,All
Italy,All,Fatalities,2020-03-01,34,All
Italy,All,Fatalities,2020-02-29,29,All
Italy,All,Fatalities,2020-02-28,21,All
Italy,All,Fatalities,2020-02-27,17,All
Italy,All,Fatalities,2020-02-26,12,All
Italy,All,Fatalities,2020-02-25,10,All
Italy,All,Fatalities,2020-02-24,7,All
Italy,All,Fatalities,2020-02-23,3,All
Italy,All,Fatalities,2020-02-22,2,All
Italy,All,Fatalities,2020-02-21,1,All
Spain,All,Fatalities,2020-04-07,13798,All
Spain,All,Fatalities,2020-04-06,13055,All
Spain,All,Fatalities,2020-04-05,12418,All
Spain,All,Fatalities,2020-04-04,11744,All
Spain,All,Fatalities,2020-04-03,10935,All
Spain,All,Fatalities,2020-04-02,10003,All
Spain,All,Fatalities,2020-04-01,9053,All
Spain,All,Fatalities,2020-03-31,8189,All
Spain,All,Fatalities,2020-03-30,7340,All
Spain,All,Fatalities,2020-03-29,6528,All
Spain,All,Fatalities,2020-03-28,5690,All
Spain,All,Fatalities,2020-03-27,4858,All
Spain,All,Fatalities,2020-03-26,4089,All
Spain,All,Fatalities,2020-03-25,3434,All
Spain,All,Fatalities,2020-03-24,2696,All
Spain,All,Fatalities,2020-03-23,2182,All
Spain,All,Fatalities,2020-03-22,1720,All
Spain,All,Fatalities,2020-03-21,1326,All
Spain,All,Fatalities,2020-03-20,1002,All
Spain,All,Fatalities,2020-03-19,767,All
Spain,All,Fatalities,2020-03-18,598,All
Spain,All,Fatalities,2020-03-17,491,All
Spain,All,Fatalities,2020-03-16,309,All
Spain,All,Fatalities,2020-03-15,288,All
Spain,All,Fatalities,2020-03-14,136,All
Spain,All,Fatalities,2020-03-13,120,All
Spain,All,Fatalities,2020-03-12,84,All
Spain,All,Fatalities,2020-03-11,47,All
Spain,All,Fatalities,2020-03-10,35,All
Spain,All,Fatalities,2020-03-08,17,All
Spain,All,Fatalities,2020-03-09,17,All
Spain,All,Fatalities,2020-03-07,8,All
Spain,All,Fatalities,2020-03-06,5,All
Spain,All,Fatalities,2020-03-05,3,All
Spain,All,Fatalities,2020-03-04,1,All
US,All,Fatalities,2020-04-06,10783,All
US,All,Fatalities,2020-04-05,9619,All
US,All,Fatalities,2020-04-04,8407,All
US,All,Fatalities,2020-04-03,7087,All
US,All,Fatalities,2020-04-02,5926,All
US,All,Fatalities,2020-04-01,4757,All
US,All,Fatalities,2020-03-31,3873,All
US,All,Fatalities,2020-03-30,2978,All
US,All,Fatalities,2020-03-29,2467,All
US,All,Fatalities,2020-03-28,2026,All
US,All,Fatalities,2020-03-27,1581,All
US,All,Fatalities,2020-03-26,1209,All
US,All,Fatalities,2020-03-25,942,All
US,All,Fatalities,2020-03-24,706,All
US,All,Fatalities,2020-03-23,557,All
US,All,Fatalities,2020-03-22,417,All
US,All,Fatalities,2020-03-21,307,All
US,All,Fatalities,2020-03-20,244,All
US,All,Fatalities,2020-03-19,200,All
US,All,Fatalities,2020-03-18,118,All
US,All,Fatalities,2020-03-17,108,All
US,All,Fatalities,2020-03-16,85,All
US,All,Fatalities,2020-03-15,63,All
US,All,Fatalities,2020-03-14,54,All
US,All,Fatalities,2020-03-13,47,All
US,All,Fatalities,2020-03-12,40,All
US,All,Fatalities,2020-03-11,36,All
US,All,Fatalities,2020-03-10,28,All
US,All,Fatalities,2020-03-09,22,All
US,All,Fatalities,2020-03-08,21,All
US,All,Fatalities,2020-03-07,17,All
US,All,Fatalities,2020-03-06,14,All
US,All,Fatalities,2020-03-05,12,All
US,All,Fatalities,2020-03-04,11,All
US,All,Fatalities,2020-03-03,7,All
US,All,Fatalities,2020-03-02,6,All
US,All,Fatalities,2020-02-29,1,All
US,All,Fatalities,2020-03-01,1,All
Italy,Lombardia,Fatalities,2020-04-07,9484,All
Italy,Lombardia,Fatalities,2020-04-06,9202,All
Italy,Lombardia,Fatalities,2020-04-05,8905,All
Italy,Lombardia,Fatalities,2020-04-04,8656,All
Italy,Lombardia,Fatalities,2020-04-03,8311,All
Italy,Lombardia,Fatalities,2020-04-02,7960,All
Italy,Lombardia,Fatalities,2020-04-01,7593,All
Italy,Lombardia,Fatalities,2020-03-31,7199,All
Italy,Lombardia,Fatalities,2020-03-30,6818,All
Italy,Lombardia,Fatalities,2020-03-29,6360,All
Italy,Lombardia,Fatalities,2020-03-28,5944,All
Italy,Lombardia,Fatalities,2020-03-27,5402,All
Italy,Lombardia,Fatalities,2020-03-26,4861,All
Italy,Lombardia,Fatalities,2020-03-25,4474,All
Italy,Lombardia,Fatalities,2020-03-24,4178,All
Italy,Lombardia,Fatalities,2020-03-23,3776,All
Italy,Lombardia,Fatalities,2020-03-22,3456,All
Italy,Lombardia,Fatalities,2020-03-21,3095,All
Italy,Lombardia,Fatalities,2020-03-20,2549,All
Italy,Lombardia,Fatalities,2020-03-19,2168,All
Italy,Lombardia,Fatalities,2020-03-18,1959,All
Italy,Lombardia,Fatalities,2020-03-17,1640,All
Italy,Lombardia,Fatalities,2020-03-16,1420,All
Italy,Lombardia,Fatalities,2020-03-15,1218,All
Italy,Lombardia,Fatalities,2020-03-14,966,All
Italy,Lombardia,Fatalities,2020-03-13,890,All
Italy,Lombardia,Fatalities,2020-03-12,744,All
Italy,Lombardia,Fatalities,2020-03-11,617,All
Italy,Lombardia,Fatalities,2020-03-10,468,All
Italy,Lombardia,Fatalities,2020-03-09,333,All
Italy,Lombardia,Fatalities,2020-03-08,267,All
Italy,Lombardia,Fatalities,2020-03-07,154,All
Italy,Lombardia,Fatalities,2020-03-06,135,All
Italy,Lombardia,Fatalities,2020-03-05,98,All
Italy,Lombardia,Fatalities,2020-03-04,73,All
Italy,Lombardia,Fatalities,2020-03-03,55,All
Italy,Lombardia,Fatalities,2020-03-02,38,All
Italy,Lombardia,Fatalities,2020-03-01,24,All
Italy,Lombardia,Fatalities,2020-02-29,23,All
Italy,Lombardia,Fatalities,2020-02-28,17,All
Italy,Lombardia,Fatalities,2020-02-27,14,All
Italy,Lombardia,Fatalities,2020-02-25,9,All
Italy,Lombardia,Fatalities,2020-02-26,9,All
Italy,Lombardia,Fatalities,2020-02-24,6,All
Italy,Without Lombardia,Fatalities,2020-04-07,7643,All
Italy,Without Lombardia,Fatalities,2020-04-06,7321,All
Italy,Without Lombardia,Fatalities,2020-04-05,6982,All
Italy,Without Lombardia,Fatalities,2020-04-04,6706,All
Italy,Without Lombardia,Fatalities,2020-04-03,6370,All
Italy,Without Lombardia,Fatalities,2020-04-02,5955,All
Italy,Without Lombardia,Fatalities,2020-04-01,5562,All
Italy,Without Lombardia,Fatalities,2020-03-31,5229,All
Italy,Without Lombardia,Fatalities,2020-03-30,4773,All
Italy,Without Lombardia,Fatalities,2020-03-29,4419,All
Italy,Without Lombardia,Fatalities,2020-03-28,4079,All
Italy,Without Lombardia,Fatalities,2020-03-27,3732,All
Italy,Without Lombardia,Fatalities,2020-03-26,3304,All
Italy,Without Lombardia,Fatalities,2020-03-25,3029,All
Italy,Without Lombardia,Fatalities,2020-03-24,2642,All
Italy,Without Lombardia,Fatalities,2020-03-23,2301,All
Italy,Without Lombardia,Fatalities,2020-03-22,2020,All
Italy,Without Lombardia,Fatalities,2020-03-21,1730,All
Italy,Without Lombardia,Fatalities,2020-03-20,1483,All
Italy,Without Lombardia,Fatalities,2020-03-19,1237,All
Italy,Without Lombardia,Fatalities,2020-03-18,1019,All
