Day,Count,Reg1,Reg2,Reg3,What
2020-03-30,267,Sweden,All,All,In ICU
2020-03-31,565,Sweden,All,All,In ICU
2020-04-01,879,Sweden,All,All,In ICU
2020-04-02,1226,Sweden,All,All,In ICU
2020-04-03,1592,Sweden,All,All,In ICU
2020-04-04,1970,Sweden,All,All,In ICU
2020-04-05,2374,Sweden,All,All,In ICU
2020-04-06,2800,Sweden,All,All,In ICU
2020-04-07,3236,Sweden,All,All,In ICU
2020-04-08,3703,Sweden,All,All,In ICU
2020-04-09,4175,Sweden,All,All,In ICU
2020-04-10,4665,Sweden,All,All,In ICU
2020-04-11,5157,Sweden,All,All,In ICU
2020-04-12,5673,Sweden,All,All,In ICU
2020-04-13,6202,Sweden,All,All,In ICU
2020-04-14,6732,Sweden,All,All,In ICU
2020-04-15,7272,Sweden,All,All,In ICU
2020-04-16,7799,Sweden,All,All,In ICU
2020-04-17,8328,Sweden,All,All,In ICU
2020-04-18,8872,Sweden,All,All,In ICU
2020-04-19,9416,Sweden,All,All,In ICU
